"Reward Points","Reward Points"
"Rewards Information","Rewards Information"
"Available Points Balance","Available Points Balance"
"Change Balance","Change Balance"
"Enter positive or negative number of points. E.g. 10 or -10","Enter positive or negative number of points. E.g. 10 or -10"
"Message in the rewards history","Message in the rewards history"
"Customer will see this in his account","Customer will see this in his account"
"No Records Found","No Records Found"
ID,ID
"Balance Change","Balance Change"
Comment,Comment
"Created At","Created At"
"Expires At","Expires At"
"Earning Rules","Earning Rules"
"Add New Earning Rule","Add New Earning Rule"
Save,Save
Delete,Delete
"Save And Continue Edit","Save And Continue Edit"
"Edit Earning Rule '%1'","Edit Earning Rule '%1'"
"Create New Earning Rule","Create New Earning Rule"
Conditions,Conditions
Event,Event
"Number of Inactive Days","Number of Inactive Days"
Actions,Actions
"Customer Earning Style","Customer Earning Style"
"Number of points to give (X)","Number of points to give (X)"
"Step (Y)","Step (Y)"
"Quantity Step (Z)","Quantity Step (Z)"
"Maximum number of earned points for one customer per day","Maximum number of earned points for one customer per day"
"Set 0 to disable limit","Set 0 to disable limit"
"Apply the rule only if the following conditions are met","Apply the rule only if the following conditions are met"
"Number of Points (X)","Number of Points (X)"
"Earn Maximum","Earn Maximum"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"General Information","General Information"
"Rule Name","Rule Name"
Type,Type
"Is Active","Is Active"
No,No
Yes,Yes
"Active From","Active From"
"Active To","Active To"
Websites,Websites
"Customer Groups","Customer Groups"
"Stop further rules processing","Stop further rules processing"
Priority,Priority
"Arranged in the ascending order. 0 is the highest.","Arranged in the ascending order. 0 is the highest."
Notifications,Notifications
"Message for customer notification email","Message for customer notification email"
Filters,Filters
"Maximum Distributed Points","Maximum Distributed Points"
"Conditions & Actions","Conditions & Actions"
"Number of points to earn","Number of points to earn"
All,All
Website,Website
Disabled,Disabled
Enabled,Enabled
"Change status","Change status"
Status,Status
"Are you sure?","Are you sure?"
"Spending Rules","Spending Rules"
"Notification Rules","Notification Rules"
Transactions,Transactions
"Customer Referrals","Customer Referrals"
Settings,Settings
"Add New Notification Rule","Add New Notification Rule"
"Edit Notification Rule '%1'","Edit Notification Rule '%1'"
"Create New Notification Rule","Create New Notification Rule"
"Show message on","Show message on"
Message,Message
"If you insert a variable like ##100.00, it will be converted to the price in currency of customer. E.g. ##100.00 will be displayed as '$100.00' in USD and as '€88' in Euro.<br><br>","If you insert a variable like ##100.00, it will be converted to the price in currency of customer. E.g. ##100.00 will be displayed as '$100.00' in USD and as '€88' in Euro.<br><br>"
"Edit Referral '%1'","Edit Referral '%1'"
"Create New Referral","Create New Referral"
"Affiliate Customer","Affiliate Customer"
"Referral Customer","Referral Customer"
"Referral Email","Referral Email"
"Referral Name","Referral Name"
Store,Store
"Add New Spending Rule","Add New Spending Rule"
"Edit Spending Rule '%1'","Edit Spending Rule '%1'"
"Create New Spending Rule","Create New Spending Rule"
"For each spent X points","For each spent X points"
"Customer receive Y discount","Customer receive Y discount"
"Spend minimum","Spend minimum"
"Spend maximum","Spend maximum"
Discount,Discount
"Are you sure ?","Are you sure ?"
"Add New Transaction","Add New Transaction"
"Edit Transaction '%1'","Edit Transaction '%1'"
"Create New Transaction","Create New Transaction"
Name,Name
Email,Email
Group,Group
Telephone,Telephone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Points Balance Change","Points Balance Change"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
Action,Action
"Check this out! %1","Check this out! %1"
"Checkout now and earn <b>%1</b> for this order.","Checkout now and earn <b>%1</b> for this order."
"Applies only to registered customers, may vary when logged in.","Applies only to registered customers, may vary when logged in."
"Rewards Points","Rewards Points"
Grid,Grid
List,List
"Referral %1","Referral %1"
"New Earning Rule","New Earning Rule"
"Earning Rule was successfully deleted","Earning Rule was successfully deleted"
"The Earning Rule does not exist.","The Earning Rule does not exist."
"Please select Earning Rule(s)","Please select Earning Rule(s)"
"Total of %1 record(s) were successfully updated","Total of %1 record(s) were successfully updated"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Earning Rule was successfully saved","Earning Rule was successfully saved"
"Unable to find Earning Rule to save","Unable to find Earning Rule to save"
"New Notification Rule","New Notification Rule"
"Notification Rule was successfully deleted","Notification Rule was successfully deleted"
"The Notification Rule does not exist.","The Notification Rule does not exist."
"Please select Notification Rule(s)","Please select Notification Rule(s)"
"Notification Rule was successfully saved","Notification Rule was successfully saved"
"Unable to find Notification Rule to save","Unable to find Notification Rule to save"
"Please select Referral(s)","Please select Referral(s)"
"New Spending Rule","New Spending Rule"
"Spending Rule was successfully deleted","Spending Rule was successfully deleted"
"The Spending Rule does not exist.","The Spending Rule does not exist."
"Please select Spending Rule(s)","Please select Spending Rule(s)"
"Spending Rule was successfully saved","Spending Rule was successfully saved"
"Unable to find Spending Rule to save","Unable to find Spending Rule to save"
"New Transaction","New Transaction"
"Transaction was successfully deleted","Transaction was successfully deleted"
"Please select Transaction(s)","Please select Transaction(s)"
"Transaction was successfully saved","Transaction was successfully saved"
"Unable to find Transaction to save","Unable to find Transaction to save"
"Cannot apply points.","Cannot apply points."
"You've earned %1 for Facebook Like!","You've earned %1 for Facebook Like!"
"Facebook Like Points has been canceled","Facebook Like Points has been canceled"
"You've earned %1 for Google+!","You've earned %1 for Google+!"
"G+1 Points has been canceled","G+1 Points has been canceled"
"You've earned %1 for Pin!","You've earned %1 for Pin!"
"Customer with email %1 has been already invited to our store","Customer with email %1 has been already invited to our store"
"Your invitations were sent. Thanks!","Your invitations were sent. Thanks!"
"Error. PLease reload page and login twitter","Error. PLease reload page and login twitter"
"You've earned %1 for Tweet!","You've earned %1 for Tweet!"
"You'll get your%1 for Tweet shortly!","You'll get your%1 for Tweet shortly!"
"You received %1 for signing up","You received %1 for signing up"
"You received %1 for sending this product","You received %1 for sending this product"
"You received %1 for sign up for newsletter","You received %1 for sign up for newsletter"
"You will receive %1 after approving of this tag","You will receive %1 after approving of this tag"
"You will receive %1 after approving of this review","You will receive %1 after approving of this review"
"You received %1 for sign up of referral customer.","You received %1 for sign up of referral customer."
"You received %1 for order of referral customer.","You received %1 for order of referral customer."
"Happy birthday! You received %1.","Happy birthday! You received %1."
"%1 was applied.","%1 was applied."
"Minimum number is %1.","Minimum number is %1."
"Maximum number is %1.","Maximum number is %1."
"%1 was canceled.","%1 was canceled."
"Cannot apply %1.","Cannot apply %1."
"You can use the following variables:","You can use the following variables:"
Pattern,Pattern
"Attribute Value","Attribute Value"
Default,Default
Integer,Integer
Price,Price
"Strip Tags","Strip Tags"
"Primary Attributes","Primary Attributes"
"Stock Attributes","Stock Attributes"
"Prices & Taxes","Prices & Taxes"
Images,Images
"Custom Attributes","Custom Attributes"
Mapping,Mapping
Category,Category
"Amasty Meta Tags","Amasty Meta Tags"
"Others Attributes","Others Attributes"
"You Earn","You Earn"
"You Spend","You Spend"
"Customer signs up in store","Customer signs up in store"
"Customer emails product's link to a friend","Customer emails product's link to a friend"
"Newsletter sign up","Newsletter sign up"
"Customer adds tag to a product","Customer adds tag to a product"
"Customer writes a product's review","Customer writes a product's review"
"Customer has a birthday","Customer has a birthday"
"Customer is not active for long time","Customer is not active for long time"
"Facebook Like","Facebook Like"
"Twitter Tweet","Twitter Tweet"
"Google+ Like","Google+ Like"
"Pinterest Pin","Pinterest Pin"
"Referred customer signs up in store","Referred customer signs up in store"
"Order from referred customer","Order from referred customer"
"Points to Currency","Points to Currency"
"Currency to Points","Currency to Points"
"Customer Account > My Reward Points","Customer Account > My Reward Points"
"Customer Account > My Referrals","Customer Account > My Referrals"
"Cart Page","Cart Page"
"Message Sent","Message Sent"
"Signed Up","Signed Up"
"Made Order","Made Order"
"Visited by Referral Link","Visited by Referral Link"
"Subtotal + Tax","Subtotal + Tax"
"Subtotal + Tax + Shipping","Subtotal + Tax + Shipping"
"Product Rule","Product Rule"
"Cart Rule","Cart Rule"
"Behavior Rule","Behavior Rule"
"Transaction #%1 is expired","Transaction #%1 is expired"
"Update the Product","Update the Product"
"Conditions Combination","Conditions Combination"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Last 7-days Clicks","Last 7-days Clicks"
"Last 7-days Orders","Last 7-days Orders"
"Last 7-days Revenue","Last 7-days Revenue"
"Is Referral","Is Referral"
"Lifetime Sales","Lifetime Sales"
"Number of Orders","Number of Orders"
"Is subscriber of newsletter","Is subscriber of newsletter"
"Number of reviews","Number of reviews"
"Number of referred friends signups","Number of referred friends signups"
"Number of referred friends orders","Number of referred friends orders"
"Sum of referred friends orders","Sum of referred friends orders"
"Number of referred friends ordered at least once","Number of referred friends ordered at least once"
"Not registered","Not registered"
"Attribute Set","Attribute Set"
Quantity,Quantity
"Product Type","Product Type"
"Base Image","Base Image"
Thumbnail,Thumbnail
"Small Image","Small Image"
"Base Image Size (bytes)","Base Image Size (bytes)"
"Thumbnail Size (bytes)","Thumbnail Size (bytes)"
"Small Image Size (bytes)","Small Image Size (bytes)"
"PHP Condition","PHP Condition"
"Open Chooser","Open Chooser"
"Referred: Group","Referred: Group"
"Referred: Lifetime Sales","Referred: Lifetime Sales"
"Referred: Number of Orders","Referred: Number of Orders"
"Referred: Is subscriber of newsletter","Referred: Is subscriber of newsletter"
"Referred: Number of reviews","Referred: Number of reviews"
"-- Please Select --","-- Please Select --"
"- Disable these emails -","- Disable these emails -"
"Give X points to customer","Give X points to customer"
"Give X points for every spent Y","Give X points for every spent Y"
"Give X points for every Z quantity","Give X points for every Z quantity"
"For every Y, give X points","For every Y, give X points"
Pending,Pending
Approved,Approved
Discarded,Discarded
-,-
"%1 has been added.","%1 has been added."
"%1 has been deducted.","%1 has been deducted."
"You earned %1 and spent %2 for this order.","You earned %1 and spent %2 for this order."
"You spent %1 for this order.","You spent %1 for this order."
"You earned %1 for this order.","You earned %1 for this order."
"Earned points will be enrolled to your account after we finish processing your order.","Earned points will be enrolled to your account after we finish processing your order."
"Points Summary","Points Summary"
"You have <b>%1</b> in your account.","You have <b>%1</b> in your account."
"Transactions History","Transactions History"
Points,Points
Created,Created
Expires,Expires
"There are no Transactions.","There are no Transactions."
"Your points balance will expire in %1 days.","Your points balance will expire in %1 days."
"Visit My Reward Points Section","Visit My Reward Points Section"
"Login to earn %1 for sharing!","Login to earn %1 for sharing!"
"Earn %1 for sharing!","Earn %1 for sharing!"
"Like this page and earn %1","Like this page and earn %1"
"Plus this page and earn %1","Plus this page and earn %1"
"Pin this page and earn %1","Pin this page and earn %1"
"Refer Friends","Refer Friends"
"Refer friend and earn %1. More friends more points!","Refer friend and earn %1. More friends more points!"
"What's happening?","What's happening?"
Tweet,Tweet
"Tweet this page and earn %1","Tweet this page and earn %1"
"Check this out!","Check this out!"
"You have <b>%1</b> available.","You have <b>%1</b> available."
"Enter amount of points to spend:","Enter amount of points to spend:"
"Use maximum %1","Use maximum %1"
"Apply Points","Apply Points"
Apply,Apply
"Cancel Points","Cancel Points"
Cancel,Cancel
"Use Reward Points","Use Reward Points"
"Discount amount","Discount amount"
"This is a required field","This is a required field"
"Earning %1","Earning %1"
"Earn %1","Earn %1"
"Buy to earn %1","Buy to earn %1"
"You'll earn %1 for this item","You'll earn %1 for this item"
"Share with Friends","Share with Friends"
"Share the referal link in the social media and get points!","Share the referal link in the social media and get points!"
"Tweet on Twitter","Tweet on Twitter"
"Your referral link:","Your referral link:"
"Send Invitations","Send Invitations"
"Enter contacts of your friends to invite them.","Enter contacts of your friends to invite them."
Referrals,Referrals
"Referred by link","Referred by link"
"There are no Referrals","There are no Referrals"
"Point Unit Name","Point Unit Name"
"Reward points expire after, days","Reward points expire after, days"
"Approve earned points on invoice","Approve earned points on invoice"
"Approve earned points on shipment","Approve earned points on shipment"
"Approve earned points if order has status","Approve earned points if order has status"
"Cancel earned points after order refunding","Cancel earned points after order refunding"
"Restore spent points after order refunding","Restore spent points after order refunding"
"Allow to earn points from shipping charges","Allow to earn points from shipping charges"
"Allow to spend points for shipping charges","Allow to spend points for shipping charges"
"Allow to place orders with grand total = 0","Allow to place orders with grand total = 0"
"Email Sender","Email Sender"
"Balance update Email","Balance update Email"
"Points expire Email","Points expire Email"
"Send notification before points expiring (in days)","Send notification before points expiring (in days)"
"Enable Referral System","Enable Referral System"
"Invitation Email Template","Invitation Email Template"
"Show number of points on the product page","Show number of points on the product page"
"Social Networks Settings","Social Networks Settings"
"Show Facebook Like button","Show Facebook Like button"
"Facebook App ID","Facebook App ID"
"Show Twitter Follow button","Show Twitter Follow button"
"Twitter Consumer Key","Twitter Consumer Key"
"Twitter Consumer Secret","Twitter Consumer Secret"
"Show Google Plus +1 button","Show Google Plus +1 button"
"Show Pinterest pin button","Show Pinterest pin button"
